X,Y,id,
398469.108024691406172,4177832.345679013524204,44
399145.904320987698156,4178332.586419754195958,43
399567.675925925956108,4178675.888888889923692,42
400322.941358024720103,4179048.617283951491117,41
401274.379629629664123,4179274.216049383860081,40
402323.904320987698156,4179303.641975309699774,38
403088.978395061742049,4178734.740740741603076,37
402500.459876543201972,4178597.419753087684512,36
401647.108024691406172,4178558.185185186099261,35
400960.503086419776082,4178489.524691359139979,34
399920.787037037080154,4178224.691358025651425,33
399293.033950617304072,4177851.962962964083999,32
398782.984567901236005,4177528.277777778916061,31
398851.645061728428118,4176792.629629630595446,30
399704.996913580282126,4177341.913580248132348,29
400538.731481481518131,4177695.024691359139979,28
401274.379629629664123,4177842.154320988804102,27
402176.774691358034033,4177901.006172840483487,26
402598.546296296291985,4177930.432098766323179,25
402853.570987654326018,4177381.148148149251938,24
401951.175925925956108,4177175.16666666790843,23
401097.8240740741021,4177126.123456791043282,22
400430.836419753090013,4177096.697530865203589,21
399871.743827160506044,4176880.907407408580184,20
399332.268518518540077,4176655.30864197621122,19
398939.922839506180026,4176449.327160494867712,18
399508.8240740741021,4176262.962962964083999,17
400273.898148148145992,4176184.493827161379158,16
401235.145061728428118,4176233.537037038244307,15
402088.496913580282126,4176292.388888889923692,14
402686.8240740741021,4176410.092592593748122,13
403236.108024691406172,4176410.092592593748122,12
403294.959876543201972,4175890.234567902050912,11
402755.484567901236005,4175713.679012346547097,10
402029.645061728428118,4175595.975308643188328,9
401225.336419753090013,4175645.018518519587815,8
400528.922839506180026,4175684.253086420707405,7
400018.873456790170167,4175811.765432099811733,6
399410.737654321012087,4175998.129629630595446,5
401274.379629629664123,4175262.481481482740492,4
401980.601851851854008,4175203.629629630595446,3
402775.101851851854008,4175252.672839506994933,2
403167.447530864214059,4175448.845679013524204,1
