id,Label,Easting,Northing,Reflectance,Band,Wavelength,Date,Projection
45,42,399567.67592592596,4178675.88888889,94,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
46,41,400322.9413580247,4179048.6172839515,107,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
47,40,401274.37962962966,4179274.216049384,119,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
48,38,402323.9043209877,4179303.6419753097,126,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
49,37,403088.97839506174,4178734.7407407416,122,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
50,36,402500.4598765432,4178597.4197530877,113,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
51,35,401647.1080246914,4178558.185185186,115,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
52,34,400960.5030864198,4178489.524691359,104,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
53,33,399920.7870370371,4178224.6913580257,113,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
54,32,399293.0339506173,4177851.962962964,101,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
55,31,398782.98456790124,4177528.277777779,103,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
56,30,398851.6450617284,4176792.6296296306,118,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
57,29,399704.9969135803,4177341.913580248,95,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
58,28,400538.7314814815,4177695.024691359,99,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
59,27,401274.37962962966,4177842.154320989,102,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
60,26,402176.77469135803,4177901.0061728405,111,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
61,25,402598.5462962963,4177930.4320987663,120,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
62,24,402853.5709876543,4177381.1481481493,132,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
63,23,401951.17592592596,4177175.166666668,113,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
64,22,401097.8240740741,4177126.123456791,110,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
65,21,400430.8364197531,4177096.697530865,106,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
66,20,399871.7438271605,4176880.9074074086,102,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
67,19,399332.26851851854,4176655.308641976,117,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
68,18,398939.9228395062,4176449.327160495,103,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
69,17,399508.8240740741,4176262.962962964,104,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
70,16,400273.89814814815,4176184.4938271614,102,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
71,15,401235.1450617284,4176233.5370370382,96,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
72,14,402088.4969135803,4176292.38888889,103,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
73,13,402686.8240740741,4176410.0925925937,109,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
74,12,403236.1080246914,4176410.0925925937,123,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
75,11,403294.9598765432,4175890.234567902,127,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
76,10,402755.48456790124,4175713.6790123465,105,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
77,9,402029.6450617284,4175595.975308643,104,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
78,8,401225.3364197531,4175645.0185185196,100,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
79,7,400528.9228395062,4175684.2530864207,101,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
80,6,400018.87345679017,4175811.7654321,100,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
81,5,399410.737654321,4175998.1296296306,100,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
82,4,401274.37962962966,4175262.4814814827,98,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
83,3,401980.60185185185,4175203.6296296306,107,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
84,2,402775.10185185185,4175252.672839507,126,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
85,1,403167.4475308642,4175448.8456790135,126,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
86,44,398469.1080246914,4177832.3456790135,89,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
87,43,399145.9043209877,4178332.586419754,102,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
88,42,399567.67592592596,4178675.88888889,98,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
89,41,400322.9413580247,4179048.6172839515,112,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
90,40,401274.37962962966,4179274.216049384,123,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
91,38,402323.9043209877,4179303.6419753097,137,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
92,37,403088.97839506174,4178734.7407407416,129,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
93,36,402500.4598765432,4178597.4197530877,123,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
94,35,401647.1080246914,4178558.185185186,120,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
95,34,400960.5030864198,4178489.524691359,111,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
96,33,399920.7870370371,4178224.6913580257,115,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
97,32,399293.0339506173,4177851.962962964,106,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
98,31,398782.98456790124,4177528.277777779,108,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
99,30,398851.6450617284,4176792.6296296306,114,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
100,29,399704.9969135803,4177341.913580248,100,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
101,28,400538.7314814815,4177695.024691359,105,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
102,27,401274.37962962966,4177842.154320989,111,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
103,26,402176.77469135803,4177901.0061728405,121,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
104,25,402598.5462962963,4177930.4320987663,126,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
105,24,402853.5709876543,4177381.1481481493,149,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
106,23,401951.17592592596,4177175.166666668,121,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
