system:index,B1_BCET,B2_BCET,B3_BCET,B4_BCET,B5_BCET,B6_BCET,B7_BCET,label,.geo
2_0,108.29121804155469,108.9053281350678,107.53358981273723,107.04697317222573,99.06455006777495,103.85917758351383,106.25459938949223,SNM3HC,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.915,37.55]}"
2_1,114.15435280672776,114.81339708231869,118.76130176838078,116.8987225543103,109.76754226132374,123.36005143505577,117.59209075797031,TEDCSZ,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.703,37.688]}"
2_2,98.78061017466436,96.7164272857278,91.67667455360683,92.24021389670034,87.06820528817957,91.66848449765018,97.78728930134497,Q659WC,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.687,37.051]}"
2_3,111.90035919095081,107.1264349001485,100.72994160843783,103.02534751075123,101.04834234562892,96.97936849405835,104.63091889098439,FF2GPL,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.06,37.121]}"
2_4,108.8904153567724,106.24396170988086,103.70319437224788,107.2152978319449,103.23504789697319,100.99117215416726,103.18372944278286,9VEHWY,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.939,37.789]}"
2_5,115.2899938494493,113.33539647380482,110.95577385492192,113.09136753210959,110.84110387531877,113.33625309774538,118.62001253980912,VX1UF0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.038,37.068]}"
2_6,128.99313332976476,130.5598748672475,134.21105996012025,136.91879381069526,129.46810255668956,137.41546343956207,136.24443246164464,NLIE6E,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.883,37.499]}"
2_7,103.18010700417724,98.86566191495476,96.17782203712272,101.44994975481836,97.21389677095621,73.38433451444786,74.57534900068578,NUJRDN,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.775,37.164]}"
2_8,125.13264112274643,125.53163271878347,126.19546140564708,121.97134965850967,110.62459437066613,115.33410802225382,114.58015717775805,WG5UBQ,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.457,37.776]}"
2_9,114.7663397093045,112.32138991462759,109.12242791894721,106.50230241668368,106.00470690080095,97.0674983548663,93.54375326442516,UJW1KG,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.366,37.46]}"
2_10,118.06826741761842,115.5007140477104,110.00386614493121,107.8848081311202,102.78189424440518,99.78356124742845,98.71211638317396,WIUAB0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.582,37.173]}"
2_11,98.44458000133321,92.95566170334561,85.61096725936721,81.2882442095318,69.9073614777401,67.0959835035614,70.11411797207495,CPEEQY,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.335,37.833]}"
2_12,111.35892240986195,111.6975543627326,112.1891902135468,109.12137435664783,101.50834909518042,113.50158941451372,118.70957961422823,8VEAIC,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.961,37.62]}"
2_13,94.48001728567874,95.4673470748688,94.13784516721958,91.65401456852479,89.62172231048464,91.43139420778817,93.06711922948847,9RCQI2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.479,37.399]}"
2_14,131.7315905348732,131.39693123517736,130.77067955144997,128.94769080319733,119.68110312510382,126.7121074148227,121.62873181705072,IM8R6T,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.858,37.645]}"
2_15,95.52921113110114,93.11315845496344,93.0355192181853,98.04518066095824,95.42156256199704,98.5930985614508,106.31625407400662,E5OR7K,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.14,37.425]}"
2_16,110.17773715132805,110.77806934546345,110.48259996959015,109.44909168446375,103.08156475463332,113.44284898641024,119.66009074625265,J9WKJA,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.957,37.617]}"
2_17,153.82222239243143,154.69570917552545,150.3202602060436,148.7843589934717,138.0935363044948,132.822388891373,133.36661494208715,EQ8NHW,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.681,37.632]}"
2_18,112.66320332241744,107.85580806588396,103.96525932947006,108.4972161099646,108.90836489495021,106.41512664863723,115.75903853491405,ZNE4AL,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.192,37.16]}"
2_19,97.09727627703526,94.76274839031751,91.92946496583693,95.12662409188047,93.95557625628865,96.77367925708984,101.16973364600335,UKDXGV,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.764,37.197]}"
2_20,58.89090190865741,62.00496340317656,72.99492564060665,74.1895817692417,86.49859579919362,99.97639529945008,116.2122561074952,QBOYT1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.154,37.635]}"
2_21,118.55772144530823,116.52882789326549,115.74048454125148,120.81514402323148,115.81370475348888,120.87284989585413,119.61285710000914,EOIHWJ,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.035,37.379]}"
2_22,110.95903378194566,112.91535790936297,110.62662554650598,108.03802981158302,104.84281268566326,109.89539638724415,106.7170404519855,KZ3FU1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.497,37.589]}"
2_23,116.65323333440878,113.97673126953177,109.63693178168865,110.10573211729167,98.83775679727071,91.5993456439706,94.11305868378889,5X0HNL,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.058,37.634]}"
2_24,104.51680268829901,101.14628208927792,97.80391179783399,92.7250159503543,81.88970274946203,75.43023139144208,75.53704958499401,M3120C,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.011,37.659]}"
2_25,98.2000034167043,96.37858447134514,96.17782203712272,99.4802310050145,96.73177824905872,85.25557043373192,86.91778120614885,TSQKA2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.852,37.778]}"
2_26,98.627910554951,93.69009677409542,94.27295309926117,101.59220448097145,102.26481286072601,83.7872279590095,87.86568874212935,Z9826X,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.091,37.344]}"
2_27,115.9288279555272,114.66591104235314,113.06802499491502,117.65410204961418,114.54170747536591,116.67168861693648,117.07199809825846,5QU3GA,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.875,37.484]}"
2_28,97.64905922095673,92.9819054691425,90.83916373222468,97.08007787405495,98.68848909061833,90.01687109198537,96.8730608948253,UTFSG7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.878,37.582]}"
2_29,69.20750361228215,70.96173088195866,74.76723318390654,84.92801658296821,91.59379387461988,111.80946966537084,122.68540746720674,1MN72M,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.579,37.279]}"
2_30,87.01848064720232,81.1316310501719,75.84832882126017,80.81924739481912,83.33419715184658,90.28419506693865,98.3307431874685,H5EWFR,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.051,37.424]}"
