system:index,B1_BCET,B2_BCET,B3_BCET,B4_BCET,B5_BCET,B6_BCET,B7_BCET,label,.geo
2_0,104.43382187278638,104.93758045380957,100.59881935927675,97.1269283844369,92.58245117740088,97.60428378489709,104.21411846635544,BCX0O5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.9,37.187]}"
2_1,104.10851010874228,106.95797978472513,110.85212989712664,110.05377739239614,112.33256828525816,129.9122954668008,117.42786967892536,G1SCTJ,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.665,37.524]}"
2_2,159.1879836587844,161.0635386508137,161.615971200215,160.3963624524973,149.21405101052034,152.65750463759622,134.4321162302567,WYZDTR,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.434,37.076]}"
2_3,133.70386913044916,136.16171680359463,133.84509588747875,128.979646263689,120.114829974006,126.85173594033219,130.92202003799576,7B7Q8S,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.376,37.973]}"
2_4,105.8109493078203,102.99404064859397,100.46138143537033,100.8804172865321,94.18852271321728,84.45068754998854,86.47943897216345,N96C70,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.106,37.552]}"
2_5,108.79922469370297,111.61321174481009,113.19449796207189,112.29180096343842,114.7056911774888,117.89907452584023,115.17175822931586,CAQU5D,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.797,37.385]}"
2_6,110.29744444340236,105.92753463217338,101.20472994986284,105.13038238828514,102.06161963397199,102.947853680745,110.34830848330077,K9DKR7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.072,37.315]}"
2_7,123.78154866481532,123.10033575654359,120.59725919311876,120.48097370830601,112.04212902078459,114.7214273366846,115.8193430550032,SETTOA,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.901,37.611]}"
2_8,104.43382187278638,103.14975246507385,100.87356760714331,102.39339748825637,96.29812087601158,101.91419502349305,109.26920006113258,T9477Y,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.321,37.828]}"
2_9,74.22990197433478,70.93635724901003,63.82052975216391,59.34149302469012,55.402882698144566,48.75567568504081,44.358844826623624,0W7BE1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.932,37.659]}"
2_10,81.41970750221361,78.91251819719935,76.9462157105699,79.48377264242768,79.26498028168817,80.72165216305751,80.41041498999527,UXY9KI,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.309,37.177]}"
2_11,104.07796659630259,104.82115131873041,101.94054907454733,101.62000774365228,99.26224572689318,98.96657156540752,99.6801523375376,1ZWN31,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.79,37.678]}"
2_12,113.87974881027878,109.94181998732216,104.14320610723951,94.93962103534164,79.7911879444506,69.80486437920078,57.53918556239995,L9JMMZ,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.795,37.105]}"
2_13,149.8742919863754,149.0315425496403,141.38991233962716,132.02400725248137,117.22818017021808,121.0433298252834,132.99748198950996,7OPU3Z,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.798,37.161]}"
2_14,125.36805234846986,124.54140020892692,122.34536010264551,120.63807394970385,117.73295053299086,115.41475966640715,108.52798282439883,MONSP4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.575,37.071]}"
2_15,56.05528659467029,57.102625210094914,60.42721758699861,62.2821155148159,93.377696386467,93.47239572369631,82.71398780043327,A7RBVA,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.669,37.395]}"
2_16,116.67473724517083,116.63796424911249,116.43976693127942,118.02262982063101,112.80505723525482,105.96718139939401,110.98136729997455,VUV7XQ,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.74,37.808]}"
2_17,84.97165123677337,81.13375200315198,76.81820198641867,79.44225925424686,82.77226940581852,78.72899580640393,75.7941079195449,CIDHXL,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.806,37.072]}"
2_18,129.32193988921523,130.27502286793924,127.54509725209346,130.9397532809529,117.66540416865621,146.3279422448573,141.62322026115353,TJXUQN,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.79,37.652]}"
2_19,109.52864582335275,108.7389748085609,106.49362063907535,110.26514530693663,110.60961813222642,135.7151612225469,147.84257331133875,950ZEN,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.545,37.161]}"
2_20,83.32894229585605,80.97320265121772,76.99330877503922,77.11468468910948,84.9223397824903,79.57740916741255,78.45977579281467,3BY7SA,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.61,37.199]}"
2_21,104.45988339557016,102.13122582621037,100.37338272021944,100.54491673290204,94.83534152164574,94.66523546250403,100.67077189251489,1B9VN3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.979,37.788]}"
2_22,85.45668559887878,84.01284489735053,90.66838761287076,102.04812646434291,105.47644327588424,96.30009742888939,99.05450019105021,M7885C,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.771,37.257]}"
2_23,106.00016015944658,106.71334154036538,107.08924357428953,103.32478361307972,105.38120001101254,108.09429263853161,108.44901763228489,TF2ZN9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.952,37.641]}"
2_24,115.5203799713463,113.16501404640826,109.77775971876093,112.00619545784684,107.6301238272786,100.3008729992361,103.80543820702775,SB4WV2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.323,37.084]}"
2_25,98.95707639015438,96.21698337235796,95.13463236239821,97.17425346874197,95.15000996970312,94.09190276343028,101.62693583019171,CAVOF4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.94,37.837]}"
2_26,112.74816764636057,113.55821233670048,118.10809265450075,120.86032988774633,118.60088190172661,116.44156951058778,114.07519861866905,6UBL3G,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.624,37.459]}"
2_27,111.79536366659158,109.4606507100358,108.0824479042696,109.2306769794325,103.84558072208006,104.86907719281075,110.43457466762567,LSX65O,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.093,37.701]}"
2_28,90.43074925603526,88.45405148481842,84.09635408454778,83.89409862418233,84.7531194459865,91.60251924269465,94.00777992188145,F6UIKF,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.958,37.277]}"
2_29,95.8214217373341,93.0604393894589,87.689848364033,90.3634477831421,93.72544520035297,91.78368048981733,92.5150637231948,L0J09W,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.721,37.087]}"
2_30,109.09132381466691,108.39918031741638,110.85212989712664,110.49919584628375,104.54239470427677,99.4223883566963,96.42566146855486,L4FJRN,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.452,37.114]}"
2_31,82.16296802327986,82.31658888137565,86.36286107903717,86.22083960015854,95.16264358605267,91.5173037986714,81.41473938470793,2M9JGM,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.75,37.647]}"
2_32,111.33364817662937,110.71088276356875,111.0788008645855,111.86902638197915,101.32327855222795,100.67024228869346,95.74904569220868,V5D9IH,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.209,37.764]}"
2_33,86.47477267284091,84.3374051934901,82.17159874364808,78.79416668005456,81.69072478609269,82.87001418451871,80.28598291741463,AZNQOC,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.996,37.331]}"
2_34,112.24814231817402,112.41571973850932,114.83385569401545,121.94825198812572,118.5991961814965,106.7520624085968,112.84847373259075,Y88WBA,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.684,37.758]}"
2_35,89.08902455168209,86.27720442940375,84.66414622055288,87.7889058746276,87.2311427401711,78.10013984014762,79.15901802683922,I7BNJR,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.319,37.154]}"
2_36,84.51386853262329,86.82980393702024,94.36761776492793,91.86948504282469,93.48409748839683,96.73594895548231,97.01773060392915,EZZYPF,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.124,37.293]}"
2_37,101.32144023963133,97.76480762780716,95.01153628345065,98.00036611831726,94.6997585623786,89.46403583035053,93.78348525402382,DDC736,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.737,37.479]}"
2_38,101.94454206255745,97.2362419270492,95.81110782044684,100.2110082724657,93.79746460849134,105.87651108562551,101.82701442116246,69IVZB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.111,37.61]}"
2_39,106.24738124767066,106.60963222084524,107.35158907316944,103.00370188698585,96.18033937231257,110.78623163315348,125.5563963872923,ZMJ16J,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.113,37.747]}"
2_40,69.92878251733481,67.93295061303462,73.88902830523517,71.16977786773356,91.75439127380454,80.5507975280257,72.26310793338854,60IAV9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.413,37.854]}"
2_41,110.16650207671438,111.38555241187095,114.73045893998224,115.28665150984585,117.51556914985363,104.19065158435623,96.59096510564564,N8FW1Q,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.564,37.597]}"
2_42,97.59018600231673,95.34012590871708,95.05724076877675,101.51822712582168,105.68262241445652,93.51853491444422,91.98688539619906,3K7NC6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.742,37.121]}"
